3755 GB2312-80 level-1 Chinese characters
Character	GB code	Unicode
³Þ	0xdeb3	0x4f88
³ß	0xdfb3	0x5c3a
³à	0xe0b3	0x8d64
³á	0xe1b3	0x7fc5
³â	0xe2b3	0x65a5
³ã	0xe3b3	0x70bd
³ä	0xe4b3	0x5145
³å	0xe5b3	0x51b2
³æ	0xe6b3	0x866b
³ç	0xe7b3	0x5d07
³è	0xe8b3	0x5ba0
³é	0xe9b3	0x62bd
³ê	0xeab3	0x916c
³ë	0xebb3	0x7574
³ì	0xecb3	0x8e0c
³í	0xedb3	0x7a20
³î	0xeeb3	0x6101
³ï	0xefb3	0x7b79
³ð	0xf0b3	0x4ec7
³ñ	0xf1b3	0x7ef8
³ò	0xf2b3	0x7785
³ó	0xf3b3	0x4e11
³ô	0xf4b3	0x81ed
³õ	0xf5b3	0x521d
³ö	0xf6b3	0x51fa
³÷	0xf7b3	0x6a71
³ø	0xf8b3	0x53a8
³ù	0xf9b3	0x8e87
³ú	0xfab3	0x9504
³û	0xfbb3	0x96cf
³ü	0xfcb3	0x6ec1
³ý	0xfdb3	0x9664
³þ	0xfeb3	0x695a
´¡	0xa1b4	0x7840
´¢	0xa2b4	0x50a8
´£	0xa3b4	0x77d7
´¤	0xa4b4	0x6410
´¥	0xa5b4	0x89e6
´¦	0xa6b4	0x5904
´§	0xa7b4	0x63e3
´¨	0xa8b4	0x5ddd
´©	0xa9b4	0x7a7f
´ª	0xaab4	0x693d
´«	0xabb4	0x4f20
´¬	0xacb4	0x8239
´­	0xadb4	0x5598
´®	0xaeb4	0x4e32
´¯	0xafb4	0x75ae
´°	0xb0b4	0x7a97
´±	0xb1b4	0x5e62
´²	0xb2b4	0x5e8a
´³	0xb3b4	0x95ef
´´	0xb4b4	0x521b
´µ	0xb5b4	0x5439
´¶	0xb6b4	0x708a
´·	0xb7b4	0x6376
´¸	0xb8b4	0x9524
´¹	0xb9b4	0x5782
´º	0xbab4	0x6625
´»	0xbbb4	0x693f
´¼	0xbcb4	0x9187
´½	0xbdb4	0x5507
´¾	0xbeb4	0x6df3
´¿	0xbfb4	0x7eaf
´À	0xc0b4	0x8822
´Á	0xc1b4	0x6233
´Â	0xc2b4	0x7ef0
´Ã	0xc3b4	0x75b5
´Ä	0xc4b4	0x8328
´Å	0xc5b4	0x78c1
´Æ	0xc6b4	0x96cc
´Ç	0xc7b4	0x8f9e
´È	0xc8b4	0x6148
´É	0xc9b4	0x74f7
´Ê	0xcab4	0x8bcd
´Ë	0xcbb4	0x6b64
´Ì	0xccb4	0x523a
´Í	0xcdb4	0x8d50
´Î	0xceb4	0x6b21
´Ï	0xcfb4	0x806a
´Ð	0xd0b4	0x8471
´Ñ	0xd1b4	0x56f1
´Ò	0xd2b4	0x5306
´Ó	0xd3b4	0x4ece
´Ô	0xd4b4	0x4e1b
´Õ	0xd5b4	0x51d1
´Ö	0xd6b4	0x7c97
´×	0xd7b4	0x918b
´Ø	0xd8b4	0x7c07
´Ù	0xd9b4	0x4fc3
´Ú	0xdab4	0x8e7f
´Û	0xdbb4	0x7be1
´Ü	0xdcb4	0x7a9c
´Ý	0xddb4	0x6467
´Þ	0xdeb4	0x5d14
´ß	0xdfb4	0x50ac
´à	0xe0b4	0x8106
´á	0xe1b4	0x7601
´â	0xe2b4	0x7cb9
´ã	0xe3b4	0x6dec
´ä	0xe4b4	0x7fe0
´å	0xe5b4	0x6751
´æ	0xe6b4	0x5b58
´ç	0xe7b4	0x5bf8
´è	0xe8b4	0x78cb
´é	0xe9b4	0x64ae
´ê	0xeab4	0x6413
´ë	0xebb4	0x63aa
´ì	0xecb4	0x632b
´í	0xedb4	0x9519
´î	0xeeb4	0x642d
´ï	0xefb4	0x8fbe
´ð	0xf0b4	0x7b54
´ñ	0xf1b4	0x7629
´ò	0xf2b4	0x6253
´ó	0xf3b4	0x5927
´ô	0xf4b4	0x5446
´õ	0xf5b4	0x6b79
´ö	0xf6b4	0x50a3
´÷	0xf7b4	0x6234
´ø	0xf8b4	0x5e26
´ù	0xf9b4	0x6b86
´ú	0xfab4	0x4ee3
´û	0xfbb4	0x8d37
´ü	0xfcb4	0x888b
´ý	0xfdb4	0x5f85
´þ	0xfeb4	0x902e
µ¡	0xa1b5	0x6020
µ¢	0xa2b5	0x803d
µ£	0xa3b5	0x62c5
µ¤	0xa4b5	0x4e39
µ¥	0xa5b5	0x5355
µ¦	0xa6b5	0x90f8
µ§	0xa7b5	0x63b8
µ¨	0xa8b5	0x80c6
µ©	0xa9b5	0x65e6
µª	0xaab5	0x6c2e
µ«	0xabb5	0x4f46
µ¬	0xacb5	0x60ee
µ­	0xadb5	0x6de1
µ®	0xaeb5	0x8bde
µ¯	0xafb5	0x5f39
µ°	0xb0b5	0x86cb
µ±	0xb1b5	0x5f53
µ²	0xb2b5	0x6321
µ³	0xb3b5	0x515a
µ´	0xb4b5	0x8361
µµ	0xb5b5	0x6863
µ¶	0xb6b5	0x5200
µ·	0xb7b5	0x6363
µ¸	0xb8b5	0x8e48
µ¹	0xb9b5	0x5012
µº	0xbab5	0x5c9b
µ»	0xbbb5	0x7977
µ¼	0xbcb5	0x5bfc
µ½	0xbdb5	0x5230
µ¾	0xbeb5	0x7a3b
µ¿	0xbfb5	0x60bc
µÀ	0xc0b5	0x9053
µÁ	0xc1b5	0x76d7
µÂ	0xc2b5	0x5fb7
µÃ	0xc3b5	0x5f97
µÄ	0xc4b5	0x7684
µÅ	0xc5b5	0x8e6c
µÆ	0xc6b5	0x706f
µÇ	0xc7b5	0x767b
µÈ	0xc8b5	0x7b49
µÉ	0xc9b5	0x77aa
µÊ	0xcab5	0x51f3
µË	0xcbb5	0x9093
µÌ	0xccb5	0x5824
µÍ	0xcdb5	0x4f4e
µÎ	0xceb5	0x6ef4
µÏ	0xcfb5	0x8fea
µÐ	0xd0b5	0x654c
µÑ	0xd1b5	0x7b1b
µÒ	0xd2b5	0x72c4
µÓ	0xd3b5	0x6da4
µÔ	0xd4b5	0x7fdf
µÕ	0xd5b5	0x5ae1
µÖ	0xd6b5	0x62b5
µ×	0xd7b5	0x5e95
µØ	0xd8b5	0x5730
µÙ	0xd9b5	0x8482
µÚ	0xdab5	0x7b2c
µÛ	0xdbb5	0x5e1d
µÜ	0xdcb5	0x5f1f
µÝ	0xddb5	0x9012
µÞ	0xdeb5	0x7f14
µß	0xdfb5	0x98a0
µà	0xe0b5	0x6382
µá	0xe1b5	0x6ec7
µâ	0xe2b5	0x7898
µã	0xe3b5	0x70b9
µä	0xe4b5	0x5178
µå	0xe5b5	0x975b
µæ	0xe6b5	0x57ab
µç	0xe7b5	0x7535
µè	0xe8b5	0x4f43
µé	0xe9b5	0x7538
µê	0xeab5	0x5e97
µë	0xebb5	0x60e6
µì	0xecb5	0x5960
µí	0xedb5	0x6dc0
µî	0xeeb5	0x6bbf
µï	0xefb5	0x7889
µð	0xf0b5	0x53fc
µñ	0xf1b5	0x96d5
µò	0xf2b5	0x51cb
µó	0xf3b5	0x5201
µô	0xf4b5	0x6389
µõ	0xf5b5	0x540a
µö	0xf6b5	0x9493
µ÷	0xf7b5	0x8c03
µø	0xf8b5	0x8dcc
µù	0xf9b5	0x7239
µú	0xfab5	0x789f
µû	0xfbb5	0x8776
µü	0xfcb5	0x8fed
µý	0xfdb5	0x8c0d
µþ	0xfeb5	0x53e0
¶¡	0xa1b6	0x4e01
¶¢	0xa2b6	0x76ef
¶£	0xa3b6	0x53ee
¶¤	0xa4b6	0x9489
¶¥	0xa5b6	0x9876
¶¦	0xa6b6	0x9f0e
¶§	0xa7b6	0x952d
¶¨	0xa8b6	0x5b9a
¶©	0xa9b6	0x8ba2
¶ª	0xaab6	0x4e22
¶«	0xabb6	0x4e1c
¶¬	0xacb6	0x51ac
¶­	0xadb6	0x8463
¶®	0xaeb6	0x61c2
¶¯	0xafb6	0x52a8
¶°	0xb0b6	0x680b
¶±	0xb1b6	0x4f97
¶²	0xb2b6	0x606b
¶³	0xb3b6	0x51bb
¶´	0xb4b6	0x6d1e
¶µ	0xb5b6	0x515c
¶¶	0xb6b6	0x6296
¶·	0xb7b6	0x6597
¶¸	0xb8b6	0x9661
¶¹	0xb9b6	0x8c46
¶º	0xbab6	0x9017
¶»	0xbbb6	0x75d8
¶¼	0xbcb6	0x90fd
¶½	0xbdb6	0x7763
¶¾	0xbeb6	0x6bd2
¶¿	0xbfb6	0x728a
¶À	0xc0b6	0x72ec
¶Á	0xc1b6	0x8bfb
¶Â	0xc2b6	0x5835
¶Ã	0xc3b6	0x7779
¶Ä	0xc4b6	0x8d4c
¶Å	0xc5b6	0x675c
¶Æ	0xc6b6	0x9540
¶Ç	0xc7b6	0x809a
¶È	0xc8b6	0x5ea6
¶É	0xc9b6	0x6e21
¶Ê	0xcab6	0x5992
¶Ë	0xcbb6	0x7aef
¶Ì	0xccb6	0x77ed
¶Í	0xcdb6	0x953b
¶Î	0xceb6	0x6bb5
¶Ï	0xcfb6	0x65ad
¶Ð	0xd0b6	0x7f0e
¶Ñ	0xd1b6	0x5806
¶Ò	0xd2b6	0x5151
¶Ó	0xd3b6	0x961f
¶Ô	0xd4b6	0x5bf9
¶Õ	0xd5b6	0x58a9
¶Ö	0xd6b6	0x5428
¶×	0xd7b6	0x8e72
¶Ø	0xd8b6	0x6566
¶Ù	0xd9b6	0x987f
¶Ú	0xdab6	0x56e4
¶Û	0xdbb6	0x949d
¶Ü	0xdcb6	0x76fe
¶Ý	0xddb6	0x9041
